Fashion MNIST PyTorch CNN Training Log
==================================================
Epoch [01/30] LR: 0.000997, Train Loss: 0.5769, Train Acc: 87.11%, Test Loss: 0.3519, Test Acc: 86.46%
Epoch [02/30] LR: 0.000989, Train Loss: 0.3662, Train Acc: 90.12%, Test Loss: 0.2858, Test Acc: 89.26%
Epoch [03/30] LR: 0.000976, Train Loss: 0.3177, Train Acc: 89.90%, Test Loss: 0.2960, Test Acc: 89.38%
Epoch [04/30] LR: 0.000957, Train Loss: 0.2894, Train Acc: 91.53%, Test Loss: 0.2566, Test Acc: 90.51%
Epoch [05/30] LR: 0.000934, Train Loss: 0.2647, Train Acc: 92.25%, Test Loss: 0.2397, Test Acc: 91.23%
Epoch [06/30] LR: 0.000905, Train Loss: 0.2552, Train Acc: 92.48%, Test Loss: 0.2341, Test Acc: 91.64%
Epoch [07/30] LR: 0.000873, Train Loss: 0.2446, Train Acc: 91.97%, Test Loss: 0.2475, Test Acc: 91.15%
Epoch [08/30] LR: 0.000836, Train Loss: 0.2296, Train Acc: 93.26%, Test Loss: 0.2200, Test Acc: 92.19%
Epoch [09/30] LR: 0.000796, Train Loss: 0.2204, Train Acc: 93.47%, Test Loss: 0.2186, Test Acc: 92.39%
Epoch [10/30] LR: 0.000753, Train Loss: 0.2119, Train Acc: 93.61%, Test Loss: 0.2121, Test Acc: 92.38%
Epoch [11/30] LR: 0.000706, Train Loss: 0.2029, Train Acc: 92.78%, Test Loss: 0.2327, Test Acc: 91.38%
Epoch [12/30] LR: 0.000658, Train Loss: 0.1984, Train Acc: 94.57%, Test Loss: 0.2035, Test Acc: 93.17%
Epoch [13/30] LR: 0.000608, Train Loss: 0.1904, Train Acc: 94.25%, Test Loss: 0.2072, Test Acc: 92.50%
Epoch [14/30] LR: 0.000557, Train Loss: 0.1840, Train Acc: 94.83%, Test Loss: 0.1946, Test Acc: 93.27%
Epoch [15/30] LR: 0.000505, Train Loss: 0.1766, Train Acc: 94.77%, Test Loss: 0.1922, Test Acc: 92.92%
Epoch [16/30] LR: 0.000453, Train Loss: 0.1730, Train Acc: 94.63%, Test Loss: 0.1955, Test Acc: 93.15%
Epoch [17/30] LR: 0.000402, Train Loss: 0.1642, Train Acc: 95.28%, Test Loss: 0.1893, Test Acc: 93.45%
Epoch [18/30] LR: 0.000352, Train Loss: 0.1589, Train Acc: 95.61%, Test Loss: 0.1878, Test Acc: 93.64%
Epoch [19/30] LR: 0.000304, Train Loss: 0.1543, Train Acc: 95.60%, Test Loss: 0.1846, Test Acc: 93.53%
Epoch [20/30] LR: 0.000258, Train Loss: 0.1504, Train Acc: 95.73%, Test Loss: 0.1815, Test Acc: 93.82%
Epoch [21/30] LR: 0.000214, Train Loss: 0.1462, Train Acc: 95.93%, Test Loss: 0.1781, Test Acc: 93.82%
Epoch [22/30] LR: 0.000174, Train Loss: 0.1394, Train Acc: 96.03%, Test Loss: 0.1813, Test Acc: 94.01%
Epoch [23/30] LR: 0.000137, Train Loss: 0.1374, Train Acc: 96.27%, Test Loss: 0.1784, Test Acc: 93.93%
Epoch [24/30] LR: 0.000105, Train Loss: 0.1326, Train Acc: 96.33%, Test Loss: 0.1833, Test Acc: 94.04%
Epoch [25/30] LR: 0.000076, Train Loss: 0.1296, Train Acc: 96.38%, Test Loss: 0.1739, Test Acc: 94.24%
Epoch [26/30] LR: 0.000053, Train Loss: 0.1269, Train Acc: 96.39%, Test Loss: 0.1754, Test Acc: 94.10%
Epoch [27/30] LR: 0.000034, Train Loss: 0.1246, Train Acc: 96.48%, Test Loss: 0.1756, Test Acc: 94.27%
Epoch [28/30] LR: 0.000021, Train Loss: 0.1232, Train Acc: 96.53%, Test Loss: 0.1770, Test Acc: 94.25%
Epoch [29/30] LR: 0.000013, Train Loss: 0.1233, Train Acc: 96.59%, Test Loss: 0.1770, Test Acc: 94.27%
Epoch [30/30] LR: 0.000010, Train Loss: 0.1198, Train Acc: 96.57%, Test Loss: 0.1772, Test Acc: 94.24%

Final Result
Train Accuracy: 96.57%
Test Accuracy: 94.24%
